name,slug,description,short_description,type,status,visibility,brand_slug,category_slugs,price,compare_at_price,sku,track_inventory,initial_stock,image_url,image_alt
Electric Kettle,electric-kettle,"Electric Kettle designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality electric kettle for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,12.99,17.99,SKU-0050,true,20,https://images.unsplash.com/featured/1200x1200/?electric-kettle,Electric Kettle product image
Memory Foam Pillow,memory-foam-pillow,"Memory Foam Pillow designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality memory foam pillow for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,9.99,13.99,SKU-0051,true,126,https://images.unsplash.com/featured/1200x1200/?memory-foam-pillow,Memory Foam Pillow product image
Cotton Bedsheet Set,cotton-bedsheet-set,"Cotton Bedsheet Set designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality cotton bedsheet set for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,12.99,17.99,SKU-0052,true,111,https://images.unsplash.com/featured/1200x1200/?cotton-bedsheet-set,Cotton Bedsheet Set product image
Microfiber Comforter,microfiber-comforter,"Microfiber Comforter designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality microfiber comforter for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,17.99,24.99,SKU-0053,true,46,https://images.unsplash.com/featured/1200x1200/?microfiber-comforter,Microfiber Comforter product image
Soft Bath Towel,soft-bath-towel,"Soft Bath Towel designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality soft bath towel for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,4.99,6.99,SKU-0054,true,114,https://images.unsplash.com/featured/1200x1200/?soft-bath-towel,Soft Bath Towel product image
Hand Towel Set,hand-towel-set,"Hand Towel Set designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality hand towel set for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,3.99,5.99,SKU-0055,true,93,https://images.unsplash.com/featured/1200x1200/?hand-towel-set,Hand Towel Set product image
Decorative Cushion Cover,decorative-cushion-cover,"Decorative Cushion Cover designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality decorative cushion cover for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,2.99,4.49,SKU-0056,true,68,https://images.unsplash.com/featured/1200x1200/?decorative-cushion-cover,Decorative Cushion Cover product image
Minimal Wall Clock,minimal-wall-clock,"Minimal Wall Clock designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality minimal wall clock for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,7.99,10.99,SKU-0057,true,59,https://images.unsplash.com/featured/1200x1200/?minimal-wall-clock,Minimal Wall Clock product image
Scented Soy Candle,scented-soy-candle,"Scented Soy Candle designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality scented soy candle for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,4.99,6.99,SKU-0058,true,76,https://images.unsplash.com/featured/1200x1200/?scented-soy-candle,Scented Soy Candle product image
Aroma Diffuser,aroma-diffuser,"Aroma Diffuser designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality aroma diffuser for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,12.99,17.99,SKU-0059,true,28,https://images.unsplash.com/featured/1200x1200/?aroma-diffuser,Aroma Diffuser product image
LED Desk Lamp,led-desk-lamp,"LED Desk Lamp designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality led desk lamp for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,9.99,13.99,SKU-0060,true,62,https://images.unsplash.com/featured/1200x1200/?led-desk-lamp,LED Desk Lamp product image
Yoga Mat,yoga-mat,"Yoga Mat designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality yoga mat for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,7.99,10.99,SKU-0061,true,54,https://images.unsplash.com/featured/1200x1200/?yoga-mat,Yoga Mat product image
Resistance Band Set,resistance-band-set,"Resistance Band Set designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality resistance band set for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,6.99,9.99,SKU-0062,true,57,https://images.unsplash.com/featured/1200x1200/?resistance-band-set,Resistance Band Set product image
Adjustable Dumbbell,adjustable-dumbbell,"Adjustable Dumbbell designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality adjustable dumbbell for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,19.99,27.99,SKU-0063,true,134,https://images.unsplash.com/featured/1200x1200/?adjustable-dumbbell,Adjustable Dumbbell product image
Stainless Gym Shaker,stainless-gym-shaker,"Stainless Gym Shaker designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality stainless gym shaker for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,5.99,7.99,SKU-0064,true,119,https://images.unsplash.com/featured/1200x1200/?stainless-gym-shaker,Stainless Gym Shaker product image
Sports Water Bottle,sports-water-bottle,"Sports Water Bottle designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality sports water bottle for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,4.49,6.49,SKU-0065,true,23,https://images.unsplash.com/featured/1200x1200/?sports-water-bottle,Sports Water Bottle product image
Training Gloves,training-gloves,"Training Gloves designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality training gloves for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,5.99,8.99,SKU-0066,true,128,https://images.unsplash.com/featured/1200x1200/?training-gloves,Training Gloves product image
Jump Rope,jump-rope,"Jump Rope designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality jump rope for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,2.99,4.49,SKU-0067,true,96,https://images.unsplash.com/featured/1200x1200/?jump-rope,Jump Rope product image
Foam Roller,foam-roller,"Foam Roller designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality foam roller for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,7.99,10.99,SKU-0068,true,96,https://images.unsplash.com/featured/1200x1200/?foam-roller,Foam Roller product image
Gym Duffle Bag,gym-duffle-bag,"Gym Duffle Bag designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality gym duffle bag for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,9.99,13.99,SKU-0069,true,133,https://images.unsplash.com/featured/1200x1200/?gym-duffle-bag,Gym Duffle Bag product image
Running Cap,running-cap,"Running Cap designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality running cap for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,3.99,5.99,SKU-0070,true,129,https://images.unsplash.com/featured/1200x1200/?running-cap,Running Cap product image
Hydrating Face Cleanser,hydrating-face-cleanser,"Hydrating Face Cleanser designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality hydrating face cleanser for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,4.99,6.99,SKU-0071,true,39,https://images.unsplash.com/featured/1200x1200/?hydrating-face-cleanser,Hydrating Face Cleanser product image
Vitamin C Face Serum,vitamin-c-face-serum,"Vitamin C Face Serum designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality vitamin c face serum for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,6.99,9.99,SKU-0072,true,136,https://images.unsplash.com/featured/1200x1200/?vitamin-c-face-serum,Vitamin C Face Serum product image
Daily Moisturizer,daily-moisturizer,"Daily Moisturizer designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality daily moisturizer for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,5.99,7.99,SKU-0073,true,78,https://images.unsplash.com/featured/1200x1200/?daily-moisturizer,Daily Moisturizer product image
Sunscreen SPF 50,sunscreen-spf-50,"Sunscreen SPF 50 designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality sunscreen spf 50 for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,6.49,8.99,SKU-0074,true,83,https://images.unsplash.com/featured/1200x1200/?sunscreen-spf-50,Sunscreen SPF 50 product image
Lip Care Balm,lip-care-balm,"Lip Care Balm designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality lip care balm for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,1.99,2.99,SKU-0075,true,147,https://images.unsplash.com/featured/1200x1200/?lip-care-balm,Lip Care Balm product image
Aloe Body Lotion,aloe-body-lotion,"Aloe Body Lotion designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality aloe body lotion for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,4.49,6.49,SKU-0076,true,147,https://images.unsplash.com/featured/1200x1200/?aloe-body-lotion,Aloe Body Lotion product image
Gentle Shampoo,gentle-shampoo,"Gentle Shampoo designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality gentle shampoo for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,4.99,6.99,SKU-0077,true,77,https://images.unsplash.com/featured/1200x1200/?gentle-shampoo,Gentle Shampoo product image
Nourishing Conditioner,nourishing-conditioner,"Nourishing Conditioner designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality nourishing conditioner for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,4.99,6.99,SKU-0078,true,144,https://images.unsplash.com/featured/1200x1200/?nourishing-conditioner,Nourishing Conditioner product image
Hand Wash,hand-wash,"Hand Wash designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality hand wash for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,2.49,3.49,SKU-0079,true,100,https://images.unsplash.com/featured/1200x1200/?hand-wash,Hand Wash product image
Body Wash,body-wash,"Body Wash designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality body wash for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,3.99,5.99,SKU-0080,true,123,https://images.unsplash.com/featured/1200x1200/?body-wash,Body Wash product image
Premium Notebook,premium-notebook,"Premium Notebook designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality premium notebook for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,2.99,4.49,SKU-0081,true,73,https://images.unsplash.com/featured/1200x1200/?premium-notebook,Premium Notebook product image
Hardcover Journal,hardcover-journal,"Hardcover Journal designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality hardcover journal for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,4.99,6.99,SKU-0082,true,105,https://images.unsplash.com/featured/1200x1200/?hardcover-journal,Hardcover Journal product image
